words,tags
TK 211 dư_nợ đầu tháng : 3.688.000.000 đồng,B-ACCOUNT_NUMBER I-ACCOUNT_NUMBER O O O O B-MONEY I-MONEY
"Tại thời_điểm cuối ngày 31/12/2020 , Công_ty cổ_phần đầu_tư sản_xuất Bảo_Ngọc còn tồn 1.000 đơn_vị hàng_hoá A với giá gốc là 2.000 đồng / 1 đơn_vị .",O O O B-DATE I-DATE O O O O O O O O O O O O O O O O B-UNIT_PRICE I-UNIT_PRICE I-UNIT_PRICE I-UNIT_PRICE I-UNIT_PRICE O
"Chi_phí vận_chuyển , bốc_dỡ bột mỳ về nhập kho 1.760.000 đ , trong đó thuế GTGT 10% theo hoá_đơn cước vận_chuyển số 625 của công_ty TNHH Nam_Anh .",O O O O O O O O O B-MONEY I-MONEY O O O B-TAX_TYPE I-TAX_TYPE B-TAX_TYPE I-TAX_TYPE O B-VOUCHER_TYPE I-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O
"Tiền mua bột mỳ doanh_nghiệp đã thanh_toán cho Công_ty Trí_Cường bằng chuyển_khoản theo giấy_báo Nợ số 661 của Ngân_hàng Techcombank , chi_phí vận_chuyển đã thanh_toán bằng tiền_mặt theo phiếu chi số 601 .",O O O O O O O O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O O O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O
"Ngày 2/7/2020 , Công_ty C & AE vay ngân_hàng A Bắc theo khế_ước vay có thời_hạn 3 tháng , lãi_suất 12% / năm .",B-DATE I-DATE O O O O O O O O O O O O O O O O O O B-UNIT_PRICE I-UNIT_PRICE I-UNIT_PRICE I-UNIT_PRICE
Giả_sử rằng giá_trị thu_hồi tại thời_điểm kết_thúc hợp_đồng thuê bằng không ( = 0 ) và đây là hợp_đồng thuê tài_sản duy_nhất của Công_ty TNHH A trong năm 2015 .,O O O O O O O O O O O O O B-MONEY O O O O O O O O O O O O O B-DATE I-DATE O
"Tại thời_điểm cuối ngày 31/12/2020 , Công_ty cổ_phần đầu_tư sản_xuất Bảo_Ngọc còn tồn 1.000 đơn_vị hàng_hoá A với giá gốc là 2.000 đồng / 1 đơn_vị .",O O O B-DATE I-DATE O O O O O O O O O O O O O O O O B-UNIT_PRICE I-UNIT_PRICE I-UNIT_PRICE I-UNIT_PRICE I-UNIT_PRICE O
"Trên thị_trường , tại thời_điểm này , giá bán của hàng_hoá A là 1.950 đồng / 1 đơn_vị ( giả_sử chi_phí bán hàng ước_tính bằng không ) .",O O O O O O O O O O O O O B-UNIT_PRICE I-UNIT_PRICE I-UNIT_PRICE I-UNIT_PRICE I-UNIT_PRICE O O O O O O O O O O
Công_ty Cổ_phần đầu_tư sản_xuất Bảo_Ngọc lập hạch_toán hàng tồn_kho theo phương_pháp kê_khai thường_xuyên .,O O O O O O O O O O O O O O
Công_ty đã thanh_toán 50% giá_trị hoá_đơn bằng chuyển_khoản về số vật_liệu X đã nhập kho công_ty .,O O O O O O O O O O O O O O O O O
"Tại Công_ty Cổ_phần đầu_tư sản_xuất Bảo_Ngọc , trong kỳ phát_sinh chi_phí_sản_xuất chung cố_định là 40.000.000 đ , công_suất bình_thường của máy_móc thiết_bị là 10.000 sản_phẩm , số sản_phẩm thực_tế sản_xuất ra trong kỳ là 8.000 sản_phẩm .",O O O O O O O O O O O O O O B-MONEY I-MONEY O O O O O O O O O O O O O O O O O O O O O
"Tại thời_điểm cuối ngày 31/12/2014 , Công_ty cổ_phần đầu_tư sản_xuất Bảo_Ngọc có tình hình về hàng tồn_kho cuối kỳ như sau :",O O O B-DATE I-DATE O O O O O O O O O O O O O O O O O
"Nguyên_liệu Bột mì ( Dùng cho sản_xuất sản_phẩm Bánh_mì tươi Bảo_Ngọc ) Tồn_kho : Theo giá gốc là 100.000.000 đồng , theo giá_trị thuần có_thể thực_hiện được là 95.000.000 đồng .",O O O O O O O O O O O O O O O O O O B-MONEY I-MONEY O O O O O O O O B-MONEY I-MONEY O
"Sản_phẩm Bánh_mì tươi Bảo_Ngọc tồn_kho theo giá gốc ( giá_thành ) là 200.000.000 đồng , giá bán ước_tính của sản_phẩm Bánh_mì tươi Bảo_Ngọc là 220.000.000 đồng , chi_phí bán hàng ước_tính là 5.000.000 đồng .",O O O O O O O O O O O O B-MONEY I-MONEY O O O O O O O O O O B-MONEY I-MONEY O O O O O O B-MONEY I-MONEY O
