words,tags
"Cát_vàng 400 m3 , đơn_giá trước thuế GTGT 200.000 đồng / m3 .",O O O O O O B-TAX_TYPE I-TAX_TYPE B-UNIT_PRICE I-UNIT_PRICE I-UNIT_PRICE I-UNIT_PRICE O
Tổng chi_phí dự_toán của hợp_đồng : Năm thứ hai : 8.200 triệu đồng,O O O O B-VOUCHER_TYPE O O O O O B-MONEY I-MONEY I-MONEY
Phân_xưởng 2 : 30.000.000 đồng ;,O O O B-MONEY I-MONEY O
Chọn_Thuế suất tương_ứng với thuế_suất của hàng_hoá dịch_vụ áp_dụng chương_trình khuyến_mại .,O O O O O O O O O O O O
Nộp thuế TNDN tạm tính .,O B-TAX_TYPE I-TAX_TYPE O O O
Sau đó nhấn Lập chứng_từ bán hàng .,O O O O O O O O
Tuỳ chỉnh giao_diện xem báo_cáo theo nhu_cầu,O O O O O O O
"Thông_tin thuế : khai_báo thông_tin thuế GTGT ( nếu có ) của hàng_hoá được mua về , phục_vụ cho việc lấy dữ_liệu lên bảng kê mua vào .",O O O O O B-TAX_TYPE I-TAX_TYPE O O O O O O O O O O O O O O O O O O O O O
"Lưu_ý : Trường dữ_liệu là các thông_tin do chương_trình tự sinh , các thông_tin này được lấy từ hoá_đơn , giấy_phép sử_dụng , danh_mục cơ_cấu tổ_chức , ...",O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Xem một_số trường_hợp thiết_lập Email không thành_công và cách khắc_phục tại đây .,O O O O O O O O O O O O O
"Trên giao_diện thông_báo phát_hành hoá_đơn , nhấn In và chọn Thông_báo phát_hành hoá_đơn điện_tử , sau đó nhấn In để in ra giấy",O O O O B-VOUCHER_TYPE O O O O O O O B-VOUCHER_TYPE I-VOUCHER_TYPE O O O O O O O O O
"Để khởi tạo Mẫu hoá_đơn bán hàng dành cho khu phi thuế_quan trên meInvoice , cần tích chọn Là hoá_đơn trong khu phi thuế_quan tại form Thiết_lập mẫu hoá_đơn",O O O O B-VOUCHER_TYPE O O O O O O O O O O O O O O B-VOUCHER_TYPE O O O O O O O O B-VOUCHER_TYPE
Tài_sản này được các bên thoả_thuận với trị_giá 2.400.000.000 đồng .,O O O O O O O O B-MONEY I-MONEY O
